Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
06/06/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.61	$127.89	$78.00
06/06/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.359	$33.07	$78.00
05/23/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.595	$131.51	$78.25
05/23/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.432	$181.17	$78.25
05/23/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.608	$128.77	$78.25
05/23/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.369	$33.03	$78.25
05/09/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.596	$130.78	$78.00
05/09/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.441	$176.92	$78.00
05/09/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.6	$129.91	$78.00
05/09/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.335	$33.41	$78.00
05/01/2024	Vanguard Total Intl Stk Idx I	SALE OF RECORDKEEPING FEE	0.035	$126.36	$4.37
05/01/2024	Vanguard Mstar Growth Idx I	SALE OF RECORDKEEPING FEE	0.03	$169.22	$5.11
05/01/2024	Vanguard Extended Mkt Idx Inst	SALE OF RECORDKEEPING FEE	0.035	$124.86	$4.35
05/01/2024	Schwab Small Cap Index	SALE OF RECORDKEEPING FEE	0.131	$31.90	$4.17
04/25/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	1.015	$126.41	$128.25
04/25/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.758	$169.27	$128.25
04/25/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.023	$125.33	$128.25
04/25/2024	Schwab Small Cap Index	BUY INVESTMENTS	4.019	$31.91	$128.25
04/04/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.607	$128.53	$78.00
04/04/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.449	$173.83	$78.00
04/04/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.604	$129.12	$78.00
04/04/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.359	$33.06	$78.00
